token	token_lc	object_count	facet	section	subcategory	specific	aat_id	source
manipulated copy toner resist with aquatint	manipulated copy toner resist with aquatint	3	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
book with 20 etchings	book with 20 etchings	3	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Pen and ink and color wash over graphite	pen and ink and color wash over graphite	3	""	Drawing	Ink	Ink (unspecified)	""	keyword
porcelain with overglaze enamel painting and gilding	porcelain with overglaze enamel painting and gilding	3	""	Painting	Other paint	Other paint	""	keyword
linen lace	linen lace	3	""	Textile	Natural fiber (silk, wool, cotton)	Linen	""	keyword
and silk satin	and silk satin	3	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Mixografia relief on handmade paper	mixografia relief on handmade paper	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
gold lettering on the spine	gold lettering on the spine	3	""	Decorative & other materials	Precious metal (gold, silver)	Gold	""	keyword
two sketches	two sketches	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
gelatin silver photograph on Arista semi-matte fiber paper	gelatin silver photograph on arista semi-matte fiber paper	3	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
color engraving and aquatint on heavy rough  handmade paper	color engraving and aquatint on heavy rough  handmade paper	3	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Lithograph and screenprint on Rives BFK paper	lithograph and screenprint on rives bfk paper	3	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Irish crochet	irish crochet	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Etching (cancelled)	etching (cancelled)	3	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Color lithograph and collage on Hawthorne of Larroque handmade paper	color lithograph and collage on hawthorne of larroque handmade paper	3	""	Print	Lithographs (planographic)	Lithograph	""	keyword
etching printed on India paper	etching printed on india paper	3	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
graphite and crayon on paper	graphite and crayon on paper	3	""	Drawing	Pencil, chalk & crayon	Other dry media	""	keyword
plaster of paris	plaster of paris	3	material	Sculpture	Plaster	Plaster of Paris	300014927	keyword
lace and net	lace and net	3	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
uninked woodcut	uninked woodcut	3	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
cutwork	cutwork	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
knitted wool	knitted wool	3	""	Textile	Natural fiber (silk, wool, cotton)	Wool	""	keyword
White batiste with embroidery and lace	white batiste with embroidery and lace	3	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
grass (chiy)	grass (chiy)	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
framed	framed	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
black polyester	black polyester	3	""	Textile	Synthetic fiber (nylon, polyester)	Synthetic fiber (nylon, polyester)	""	keyword
brown wash on laid paper	brown wash on laid paper	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Soft ground etching with soap ground aquatint and drypoint	soft ground etching with soap ground aquatint and drypoint	3	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
embroidered muslin	embroidered muslin	3	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Color aquatint on Robin Cover Brown paper	color aquatint on robin cover brown paper	3	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
buckskin with beads	buckskin with beads	3	""	Decorative & other materials	Beads, feathers & plant material	Beads, feathers & plant material	""	keyword
