facet_group	level	parent	label	is_public	occurrences	member_terms
Material	specific	Paint	tempera	true	164	1
Material	specific	Paint	brown wash	true	125	1
Material	specific	Paint	watercolor wash	true	109	1
Material	specific	Paint	painted	true	103	1
Material	specific	Paint	gouache	true	102	1
Material	specific	Paint	gold paint	true	84	1
Material	specific	Paint	gray wash	true	65	1
Material	specific	Paint	gesso	true	49	1
Material	specific	Paint	metallic paint	true	46	1
Material	specific	Paint	overglaze painting	true	45	1
Material	specific	Paint	gray gouache ground	true	34	1
Material	specific	Paint	hand painted	true	33	1
Material	specific	Paint	acrylic paint	true	32	1
Material	specific	Paint	transparent watercolor	true	32	1
Material	specific	Paint	white opaque watercolor	true	31	1
Material	specific	Paint	oil paint	true	25	1
Material	specific	Paint	white gouache	true	20	1
Material	specific	Paper	wove paper	true	378	1
Material	specific	Paper	tracing paper	true	359	1
Material	specific	Paper	laid paper	true	276	1
Material	specific	Paper	japan paper	true	202	1
Material	specific	Paper	newsprint	true	145	1
Material	specific	Paper	handmade paper	true	134	1
Material	specific	Paper	machine-made vellum-type paper	true	101	1
Material	specific	Paper	cardboard	true	64	1
Material	specific	Paper	china paper	true	56	1
Material	specific	Paper	ivory handmade paper	true	56	1
Material	specific	Paper	blue paper	true	54	1
Material	specific	Paper	rives bfk	true	53	1
Material	specific	Paper	copperplate deluxe paper	true	39	1
Material	specific	Paper	mulberry paper	true	32	1
Material	specific	Paper	illustration board	true	31	1
Material	specific	Paper	pith paper	true	29	1
Material	specific	Paper	paperboard	true	27	1
Material	specific	Paper	arches satine heavyweight paper	true	21	1
Material	specific	Paper	ivory wove lafuma paper	true	21	1
Material	specific	Pencil, chalk & crayon	graphite	true	2209	1
Material	specific	Pencil, chalk & crayon	pencil	true	617	1
Material	specific	Pencil, chalk & crayon	pastel	true	437	1
Material	specific	Pencil, chalk & crayon	black chalk	true	302	1
Material	specific	Pencil, chalk & crayon	crayon	true	249	1
Material	specific	Pencil, chalk & crayon	white chalk	true	180	1
Material	specific	Pencil, chalk & crayon	red chalk	true	136	1
Material	specific	Pencil, chalk & crayon	black crayon	true	90	1
Material	specific	Pencil, chalk & crayon	chalk	true	84	1
Material	specific	Pencil, chalk & crayon	blue pencil	true	54	1
Material	specific	Pigment	pigment	true	686	1
Material	specific	Pigment	underglazed decorative motifs in blue	true	138	1
Material	specific	Pigment	metallic pigment	true	83	1
Material	specific	Pigment	green	true	48	1
Material	specific	Pigment	yellow	true	36	1
Material	specific	Plastic	cellulose nitrate	true	156	1
Material	specific	Plastic	plastic	true	155	1
Material	specific	Plastic	synthetic	true	50	1
Material	specific	Plastic	acetate	true	46	1
Material	specific	Plastic	celluloid	true	30	1
Material	specific	Porcelain	porcelain	true	618	1
Material	specific	Porcelain	soft-paste porcelain	true	295	1
Material	specific	Porcelain	hard-paste porcelain	true	264	1
Material	specific	Porcelain	hard paste porcelain	true	35	1
Material	specific	Porcelain	soft paste porcelain	true	24	1
Material	specific	Shell	shell	true	124	1
Material	specific	Shell	mother-of-pearl	true	84	1
Material	specific	Shell	pearl	true	59	1
Material	specific	Shell	cowrie shell	true	54	1
Material	specific	Shell	mother-of-pearl stick	true	37	1
Material	specific	Silk	silk	true	2203	1
Material	specific	Silk	embroidered silk	true	27	1
Material	specific	Stone	stone	true	302	1
Material	specific	Stone	jet	true	42	1
Material	specific	Stone	agate	true	24	1
Material	specific	Stone	diamond	true	22	1
Material	specific	Stone	turquoise	true	22	1
Material	specific	Stone	flint	true	21	1
Material	specific	Textile	linen	true	726	1
Material	specific	Textile	velvet	true	290	1
Material	specific	Textile	satin	true	281	1
Material	specific	Textile	rayon	true	128	1
Material	specific	Textile	silk satin	true	120	1
Material	specific	Textile	nylon	true	105	1
Material	specific	Textile	net	true	104	1
Material	specific	Textile	polyester	true	100	1
Material	specific	Textile	silk velvet	true	97	1
Material	specific	Textile	chiffon	true	84	1
Material	specific	Textile	cloth	true	76	1
Material	specific	Textile	silk brocade	true	69	1
Material	specific	Textile	felt	true	68	1
Material	specific	Textile	taffeta	true	68	1
Material	specific	Textile	silk taffeta	true	59	1
Material	specific	Textile	fabric	true	58	1
Material	specific	Textile	silk chiffon	true	57	1
Material	specific	Textile	gauze	true	57	1
Material	specific	Textile	complex weave	true	50	1
Material	specific	Textile	silk gros de tour	true	48	1
Material	specific	Textile	tulle	true	42	1
Material	specific	Textile	barkcloth	true	41	1
Material	specific	Textile	silk lining	true	40	1
Material	specific	Textile	silk net	true	39	1
Material	specific	Textile	discontinuous supplementary-weft patterning	true	37	1
Material	specific	Textile	silk crepe	true	37	1
Material	specific	Textile	white linen	true	36	1
Material	specific	Textile	compound weave	true	35	1
Material	specific	Textile	wool felt	true	34	1
Material	specific	Textile	embroidered linen	true	33	1
Material	specific	Textile	knitting	true	32	1
Material	specific	Textile	tapa cloth	true	31	1
Material	specific	Textile	silk tulle	true	30	1
Material	specific	Textile	batiste	true	30	1
Material	specific	Trimmings	bead	true	421	1
Material	specific	Trimmings	glass bead	true	176	1
Material	specific	Trimmings	sequin	true	152	1
Material	specific	Trimmings	ribbon	true	117	1
Material	specific	Trimmings	silk ribbon	true	57	1
Material	specific	Trimmings	fringe	true	51	1
Material	specific	Trimmings	glass seed bead	true	50	1
Material	specific	Trimmings	silk tassel	true	48	1
Material	specific	Trimmings	tassel	true	37	1
Material	specific	Trimmings	chenille	true	37	1
Material	specific	Trimmings	grosgrain	true	35	1
Material	specific	Wood	wood	true	1663	1
Material	specific	Wood	wood panel	true	264	1
Material	specific	Wood	hardwood	true	72	1
Material	specific	Wood	mahogany	true	63	1
Material	specific	Wood	walnut	true	42	1
Material	specific	Wood	oak	true	34	1
Material	specific	Wood	ebony	true	30	1
Material	specific	Wood	gilded wood	true	26	1
Material	specific	Wood	painted wood	true	23	1
Material	specific	Wool	wool	true	1787	1
Material	specific	Wool	alpaca	true	34	1
Material	specific	Wool	cashmere	true	23	1
Material	specific	Wool	sheep's wool	true	22	1
Material	specific	Yarn & thread	metallic thread	true	208	1
Material	specific	Yarn & thread	metal thread	true	76	1
Material	specific	Yarn & thread	twine	true	70	1
Material	specific	Yarn & thread	string	true	66	1
Material	specific	Yarn & thread	thread	true	44	1
Material	specific	Yarn & thread	yarn	true	38	1
Material	specific	Yarn & thread	cord	true	30	1
Technique	flat		Etching	true	26098	131
Technique	flat		Engraving	true	14831	43
Technique	flat		Lithograph	true	14561	12
Technique	flat		Woodcut	true	8041	62
Technique	flat		Wood engraving	true	7923	23
Technique	flat		Aquatint	true	6745	74
Technique	flat		Photographic process	true	5122	44
Technique	flat		Drypoint	true	4106	25
Technique	flat		Offset lithograph	true	3420	12
Technique	flat		Hand colouring	true	2639	8
Technique	flat		Mezzotint	true	1662	9
Technique	flat		Screenprint	true	1415	3
Technique	flat		Prints	true	1370	21
Technique	flat		Weaving	true	1295	18
Technique	flat		Embroidery	true	1251	8
Technique	flat		Drawing	true	863	7
Technique	flat		Letterpress	true	766	2
Technique	flat		Stipple engraving	true	724	4
Technique	flat		Knitting/knotting	true	553	1
Technique	flat		Line block	true	506	1
Technique	flat		Pochoir	true	462	3
Technique	flat		Linocut	true	436	2
Technique	flat		Monotype	true	410	11
Technique	flat		Photogravure	true	355	17
Technique	flat		Dyeing	true	225	20
Technique	flat		Woodburytype	true	114	1
Technique	flat		Intaglio print	true	98	1
Technique	flat		Collotype	true	86	1
Technique	flat		Collagraph	true	75	2
Technique	flat		Relief print	true	38	1
Technique	flat		Surface technique	false	2075	18
Technique	flat		Photomechanical	false	1055	9
Technique	flat		Other technique	false	797	10
Technique	flat		Binding/mounting	false	188	4
