label	cn	tgn_depth	state	display_label	tier	country	region_auto	region_curator_fix	override_label	confidence	objects
Turkmenistan	AUZ.AAAAB.AAAAJ.AAAIE	3		Turkmenistan	country	Turkmenistan	Central Asia			auto	36
Western Australia	AUZ.AAAAB.AAACB.AAAAC.AAADG	4		Western Australia	country	Australia	Oceania			auto	36
Chancay	AUZ.AAAAB.AAACT.AAAEL.AAABK.AAABA	5		Chancay, Peru	notable	Peru	South America			auto	35
Laos	AUZ.AAAAB.AAAAJ.AAAFN	3		Laos	country	Laos	Southeast Asia			auto	35
Denmark	AUZ.AAAAB.AAABH.AAAQA	3		Denmark	country	Denmark	Europe			auto	35
Etruria	AUZ.AAAAB.AAABH.AAASD	3		Etruria	country	Etruria	Europe			auto	34
Stratford-upon-Avon	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAACA.AAAAY.AAAHA.AAAFW	8		Stratford-upon-Avon	notable		Europe			review: country from TGN branch node	34
Vietnam	AUZ.AAAAB.AAAAJ.AAAIT	3		Vietnam	country	Vietnam	Southeast Asia			auto	34
Puget Sound	AUZ.AAAAB.AAABZ.AAAKC.AAGUJ.AAALM	5	Washington	Puget Sound, Washington	notable	United States	North America			auto	34
Ifugao Province	AUZ.AAAAB.AAAAJ.AAAGH.AAAAC.AAADF	5		Ifugao Province, Southeast Asia	notable	Southeast Asia	Southeast Asia			auto	33
Nunivak Island	AUZ.AAAAB.AAABZ.AAAKC.AAHGI.AAAID.AAAKA	6	Alaska	Nunivak Island, Alaska	notable	United States	North America			auto	33
Queensland	AUZ.AAAAB.AAACB.AAAAC.AAACI	4		Queensland	country	Australia	Oceania			auto	33
Cambodia	AUZ.AAAAB.AAAAJ.AAAQY	3		Cambodia	country	Cambodia	Southeast Asia			auto	32
Hawaiian Islands	AUZ.AAAAB.AAACB.AAAAR	3		Hawaiian Islands	country	Hawaiian Islands	Oceania			auto	32
Republic of Fiji	AUZ.AAAAB.AAACB.AAAAJ	3		Republic of Fiji	country	Republic of Fiji	Oceania			auto	32
Norway	AUZ.AAAAB.AAABH.AAADN	3		Norway	country	Norway	Europe			auto	32
Middle Sepik River	AUZ.AAAAB.AAABU.AAAAB.AAAAB.AAAAJ.AAACB	6		Middle Sepik River	notable					review: no region rule	32
Vienna	AUZ.AAAAB.AAABH.AAAEF.AAACP	4		Vienna	country	Austria	Europe			auto	31
Sheffield	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAACA.AAAAY.AAAHX.AAAAC.AAAAF	9		Sheffield	notable		Europe			review: country from TGN branch node	31
Ituri Rainforest	AUZ.AAAAB.AAAAB.AAAIT.AAAAK.AAABE	5		Ituri Rainforest, Democratic Republic of the Congo	notable	Democratic Republic of the Congo	Africa			auto	31
Kyoto	AUZ.AAAAB.AAAAJ.AAANR.AAAAB.AAACJ.AAACP.AAAAB.AAABM	8		Kyoto	notable		East Asia			auto	30
Indonesia	AUZ.AAAAB.AAAAJ.AAAQC	3		Indonesia	country	Indonesia	Southeast Asia			auto	30
Versailles	AUZ.AAAAB.AAABH.AAASY.AAAME.AACCJ	5		Versailles, France	notable	France	Europe			auto	30
Thailand	AUZ.AAAAB.AAAAJ.AAAEC	3		Thailand	country	Thailand	Southeast Asia			auto	30
Serbia	AUZ.AAAAB.AAABH.AAAIL	3		Serbia	country	Serbia	Europe			auto	29
Mindanao	AUZ.AAAAB.AAAAJ.AAAGH.AAAAC.AAAEZ	5		Mindanao, Southeast Asia	notable	Southeast Asia	Southeast Asia			auto	29
Meissen	AUZ.AAAAB.AAABH.AAAQL.AAAEU.AAGAH	5		Meissen, Germany	notable	Germany	Europe			auto	28
Kenya	AUZ.AAAAB.AAAAB.AAAMH	3		Kenya	country	Kenya	Africa			auto	28
Panama	AUZ.AAAAB.AAABZ.AAAGU	3		Panama	country	Panama	Central America			auto	28
Vanuatu	AUZ.AAAAB.AAACB.AAABY	3		Vanuatu	country	Vanuatu	Oceania			auto	28
Venezuela	AUZ.AAAAB.AAACT.AAAGE	3		Venezuela	country	Venezuela	South America			auto	28
Chicago	AUZ.AAAAB.AAABZ.AAAKC.AACTE.AAAWQ.AAAGD	6	Illinois	Chicago, Illinois	notable	United States	North America			auto	28
Shropshire	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAACA.AAAAY.AAAFS	7		Shropshire	notable		Europe			review: country from TGN branch node	27
Nuremburg	AUZ.AAAAB.AAABH.AAAQL.AAAAL.ABJGN	5		Nuremburg, Germany	notable	Germany	Europe			auto	27
Kosrae	AUZ.AAAAB.AAACB.AAABB.AAAAA.AAAAB.AAAAB	6		Kosrae, Micronesia	notable	Micronesia	Oceania			auto	27
New Zealand	AUZ.AAAAB.AAACB.AAABD	3		New Zealand	country	New Zealand	Oceania			auto	27
Yugoslavia	AUZ.AAAAB.AAABH.AAALH	3		Yugoslavia	country	Yugoslavia	Europe			auto	26
Veracruz	AUZ.AAAAB.AAABZ.AAAFF.AAAAH.AAAEA	5		Veracruz	notable		North America	North America;Central America		auto	26
Augsburg	AUZ.AAAAB.AAABH.AAAQL.AAAAL.AACEI	5		Augsburg, Germany	notable	Germany	Europe			auto	26
Birmingham	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAACA.AAAAY.AAAHK.AAAAA	8		Birmingham	notable		Europe			review: country from TGN branch node	26
Madrid	AUZ.AAAAB.AAABH.AAASB.AAACL.AAAAA	5		Madrid, Spain	notable	Spain	Europe			auto	26
Washington	AUZ.AAAAB.AAABZ.AAAKC.AAGUJ	4	Washington	Washington	state	United States	North America			auto	26
Milan	AUZ.AAAAB.AAABH.AAAVP.AAADT.AAAAW	5		Milan, Italy	notable	Italy	Europe			auto	25
Romania	AUZ.AAAAB.AAABH.AAAGE	3		Romania	country	Romania	Europe			auto	25
Wingen-sur-Moder	AUZ.AAAAB.AAABH.AAASY.AAAKH.AAKOR	5		Wingen-sur-Moder, France	notable	France	Europe			auto	25
Mariana Islands	AUZ.AAAAB.AAACB.AAAAX	3		Mariana Islands	country	Mariana Islands	Oceania			auto	24
Midwest	AUZ.AAAAB.AAABZ.AAAKC.AADXF	4	Midwest	Midwest	state	United States	North America			auto	24
Jalisco	AUZ.AAAAB.AAABZ.AAAFF.AAAAH.AAABW	5		Jalisco	below-threshold		North America	North America;Central America		auto	24
Nayarit	AUZ.AAAAB.AAABZ.AAAFF.AAAAH.AAACM	5		Nayarit	below-threshold		North America	North America;Central America		auto	24
Portugal	AUZ.AAAAB.AAABH.AAAFG	3		Portugal	country	Portugal	Europe			auto	24
Washington DC	AUZ.AAAAB.AAABZ.AAAKC.AABME.AAAAA	5		Washington DC	below-threshold	United States	North America			auto	24
Sapwuahfik	AUZ.AAAAB.AAACB.AAABB.AAAAA.AAAAB.AAAAC.AAAAK	7		Sapwuahfik	below-threshold	Micronesia	Oceania			auto	23
West Islip	AUZ.AAAAB.AAABZ.AAAKC.AAEFW.AAASB.AABAH	6	New York	West Islip	below-threshold	United States	North America			auto	23
Syria	AUZ.AAAAB.AAAAJ.AAAGT	3		Syria	country	Syria	Middle East			auto	23
Mississippi	AUZ.AAAAB.AAABZ.AAAKC.AADZE	4	Mississippi	Mississippi	state	United States	North America			auto	23
Lucknow	AUZ.AAAAB.AAAAJ.AAAGG.AAAAK.AAAJV.AAGGC	6		Lucknow	below-threshold		East Asia			auto	23
British Columbia	AUZ.AAAAB.AAABZ.AAAKC.AADTC.AAAAN	5		British Columbia	below-threshold	United States	North America			auto	23
Apulia	AUZ.AAAAB.AAABH.AAAVP.AAAFC	4		Apulia	country	Italy	Europe			auto	22
Luzon	AUZ.AAAAB.AAAAJ.AAAGH.AAAAC.AAAEG	5		Luzon	below-threshold	Southeast Asia	Southeast Asia			auto	22
Sumatra	AUZ.AAAAB.AAAAJ.AAAGH.AAAAJ.AAADN	5		Sumatra	below-threshold	Southeast Asia	Southeast Asia			auto	22
El Salvador	AUZ.AAAAB.AAABZ.AAACO	3		El Salvador	country	El Salvador	Central America			auto	22
Jaina Island	AUZ.AAAAB.AAABZ.AAAFF.AAAAH.AAAAR.AAAKG	6		Jaina Island	below-threshold		North America	North America;Central America		auto	22
Central Anatolia	AUZ.AAAAB.AAAAJ.AAAAF.AAAAD.AABME	5		Central Anatolia	below-threshold	Achaemenid	East Asia			auto	22
Trobriand Islands	AUZ.AAAAB.AAABU.AAAAB.AAAAB.AAAAU.AAABU	6		Trobriand Islands	below-threshold					review: no region rule	21
Gambell	AUZ.AAAAB.AAABZ.AAAKC.AAHGI.AAAAV.AABBI.AAAAA	7	Alaska	Gambell	below-threshold	United States	North America			auto	21
Caucasus	AUZ.AAAAB.AAAAJ.AAAMA	3		Caucasus	country	Caucasus	East Asia			auto	21
Copenhagen	AUZ.AAAAB.AAABH.AAADQ.AAAAF.AAAAJ.AAACI	6		Copenhagen	below-threshold		Europe			review: country from TGN branch node	21
Kyrgyzstan	AUZ.AAAAB.AAAAJ.AAASY	3		Kyrgyzstan	country	Kyrgyzstan	Central Asia			auto	21
San Blas	AUZ.AAAAB.AAABZ.AAABI.AAAAG.AAAAM	5		San Blas	below-threshold	Mesoamerica	Central America			auto	21
Sarawak	AUZ.AAAAB.AAAAJ.AAAGH.AAAAA.AAAAX	5		Sarawak	below-threshold	Southeast Asia	Southeast Asia			auto	20
Sudan	AUZ.AAAAB.AAAAB.AAAEJ	3		Sudan	country	Sudan	Africa			auto	20
Mount Margaret	AUZ.AAAAB.AAACB.AAAAC.AAADG.AAQVB	5		Mount Margaret	below-threshold	Australia	Oceania			auto	20
Kinngait	AUZ.AAAAB.AAABZ.AAAKC.AADTC.AAACN.AAABP	6		Kinngait	below-threshold	United States	North America			auto	20
Limoges	AUZ.AAAAB.AAABH.AAASY.AAAWG.AAAAX	5		Limoges	below-threshold	France	Europe			auto	20
Birmingham	AUZ.AAAAB.AAABZ.AAAKC.AADSV.AAAII.AABCB	6	Alabama	Birmingham	below-threshold	United States	North America			auto	20
Melville Island	AUZ.AAAAB.AAACB.AAAAC.AAACA.AAFHH	5		Melville Island	below-threshold	Australia	Oceania			auto	20
Tapacari	AUZ.AAAAB.AAACT.AAAAZ.AAAAF.AAAAZ	5		Tapacari	below-threshold	Bolivia	South America			auto	19
Paisley	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAACA.AAAAZ.AAABY.AAABJ	8		Paisley	below-threshold		Europe			review: country from TGN branch node	19
Saxony	AUZ.AAAAB.AAABH.AAAQL.AAAEU.AAIME	5		Saxony	admin (drop)	Germany	Europe			auto	19
Manhattan	AUZ.AAAAB.AAABZ.AAAKC.AAEFW.AAAYY.AAAAO.AAAAC	7	New York	Manhattan	below-threshold	United States	North America			auto	18
Ghanzi	AUZ.AAAAB.AAAAB.AAAHO.AAAAF	4		Ghanzi	country		Africa			auto	18
Sierra Leone	AUZ.AAAAB.AAAAB.AAADV	3		Sierra Leone	country	Sierra Leone	Africa			auto	18
Chantilly	AUZ.AAAAB.AAABH.AAASY.AAALU.AABEQ	5		Chantilly	below-threshold	France	Europe			auto	18
Great Plains	AUZ.AAAAB.AAABZ.AAADO	3		Great Plains	country	Great Plains	North America			auto	18
Bristol	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAACA.AAAAY.AAAAZ.AAAAE	8		Bristol	below-threshold		Europe			review: country from TGN branch node	18
Daly River	AUZ.AAAAB.AAACB.AAAAC.AAACA.AAAAT.AAAAA	6		Daly River	below-threshold	Australia	Oceania			auto	18
Kashmir	AUZ.AAAAB.AAAAJ.AAARJ	3		Kashmir	country	Kashmir	East Asia			auto	18
Santa Fe	AUZ.AAAAB.AAABZ.AAAKC.AAEFS.AAAPD.AAAIN	6	New Mexico	Santa Fe	below-threshold	United States	North America			auto	18
Aleutian Islands	AUZ.AAAAB.AAABZ.AAAKC.AAHGI.AAAAL.AAAYQ	6	Alaska	Aleutian Islands	below-threshold	United States	North America			auto	18
Leipzig	AUZ.AAAAB.AAABH.AAAQL.AAAEU.AAFLK	5		Leipzig	below-threshold	Germany	Europe			auto	17
Niger	AUZ.AAAAB.AAAAB.AAABC	3		Niger	country	Niger	Africa			auto	17
Northern Ireland	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAACY	5		Northern Ireland	below-threshold	United Kingdom	Europe			auto	17
Oaxaca	AUZ.AAAAB.AAABZ.AAAFF.AAAAH.AAACS	5		Oaxaca	below-threshold		North America	North America;Central America		auto	17
Delft	AUZ.AAAAB.AAABH.AAAAR.AAABC.AAAAA.AAAEQ.AABWE	7		Delft	below-threshold		Europe			auto	17
Western Anatolia	AUZ.AAAAB.AAAAJ.AAAAF.AAAAD.AABBW	5		Western Anatolia	below-threshold	Achaemenid	East Asia			auto	17
Guizhou	AUZ.AAAAB.AAAAJ.AAANR.AAAAC.AABCY	5		Guizhou	below-threshold		East Asia			auto	16
Argentina	AUZ.AAAAB.AAACT.AAAAR	3		Argentina	country	Argentina	South America			auto	16
Calamarca	AUZ.AAAAB.AAACT.AAAAZ.AAAAL.AAAAG	5		Calamarca	below-threshold	Bolivia	South America			auto	16
Corinth	AUZ.AAAAB.AAABH.AAARU.AAABK.AAAAI.AAABF	6		Corinth	below-threshold	Greece	Europe			auto	16
Antwerp	AUZ.AAAAB.AAABH.AAAAR.AAABC.AAAAB.AAAEN.AAAAA	7		Antwerp	below-threshold		Europe			auto	16
Western Europe	AUZ.AAAAB.AAABH.AAALB	3		Western Europe	country		Europe			review: country from TGN branch node	16
Greenland	AUZ.AAAAB.AAABZ.AAADS	3		Greenland	country	Greenland	North America			auto	15
Leiden	AUZ.AAAAB.AAABH.AAAAR.AAABC.AAAAA.AAAEQ.AAAMQ	7		Leiden	below-threshold		Europe			auto	15
Valley of Mexico	AUZ.AAAAB.AAABZ.AAAFF.AAAAH.AAACG.AABZU	6		Valley of Mexico	below-threshold		North America	North America;Central America		auto	15
Mewar	AUZ.AAAAB.AAAAJ.AAAGG.AAAAK.AAAIG.AAAIZ	6		Mewar	below-threshold		East Asia			auto	15
Korea	AUZ.AAAAB.AAAAJ.AAASI	3		Korea	country	Korea	East Asia			auto	15
Mannheim	AUZ.AAAAB.AAABH.AAAQL.AAAAK.AANEZ	5		Mannheim	below-threshold	Germany	Europe			auto	15
Cusco	AUZ.AAAAB.AAACT.AAAEL.AAAAW.AAAAR	5		Cusco	below-threshold	Peru	South America			auto	15
Hawaii	AUZ.AAAAB.AAACB.AAAAR.AAAAB.AAAAB	5		Hawaii	below-threshold	Hawaiian Islands	Oceania			auto	15
Altiplano	AUZ.AAAAB.AAACT.AAAAE	3		Altiplano	country	Altiplano	South America			auto	15
Lake Sentani	AUZ.AAAAB.AAAAJ.AAAGH.AAAAJ.AAACI.AAABI.AAAAA	6		Lake Sentani	below-threshold	Southeast Asia	Southeast Asia			auto	15
Alsace	AUZ.AAAAB.AAABH.AAAAN	3		Alsace	country	Alsace	Europe			auto	15
Finland	AUZ.AAAAB.AAABH.AAAIV	3		Finland	country	Finland	Europe			auto	14
Mongolia	AUZ.AAAAB.AAAAJ.AAABS	3		Mongolia	country	Mongolia	East Asia			auto	14
Houaphan	AUZ.AAAAB.AAAAJ.AAAQB.AAAAA.AAAAF	5		Houaphan	below-threshold		East Asia			auto	14
Northern Luzon Island	AUZ.AAAAB.AAAAJ.AAADZ.AAAIU	4		Northern Luzon Island	country	Philippines	Southeast Asia			auto	14
Calca	AUZ.AAAAB.AAACT.AAAEL.AAAAW.AAAAG	5		Calca	below-threshold	Peru	South America			auto	14
Albuquerque	AUZ.AAAAB.AAABZ.AAAKC.AAEFS.AAAXK.AAAAE	6	New Mexico	Albuquerque	below-threshold	United States	North America			auto	14
Baltimore	AUZ.AAAAB.AAABZ.AAAKC.AADRR.AAAAG.AAAAB	6	Maryland	Baltimore	below-threshold	United States	North America			auto	14
Hollywood	AUZ.AAAAB.AAABZ.AAAKC.AAAQT.AAATP.AAATG.AAAAR	7	California	Hollywood	below-threshold	United States	North America			auto	14
Tahiti	AUZ.AAAAB.AAABH.AAASY.AABLP.AAABJ	5		Tahiti	below-threshold	France	Europe			auto	14
Boeotia	AUZ.AAAAB.AAABH.AAARU.AAAAI.AABXD	5		Boeotia	below-threshold	Greece	Europe			auto	14
Bavaria	AUZ.AAAAB.AAABH.AAAQL.AAAAL	4		Bavaria	admin (drop)	Germany	Europe			auto	14
Trapiche Grande	AUZ.AAAAB.AAABZ.AAAFF.AAAAE.AAAAM.AAAAA.AAAAA	7		Trapiche Grande	below-threshold		North America	North America;Central America		auto	14
Sumba	AUZ.AAAAB.AAAAJ.AAAGH.AAAAJ.AAAAO.AAAAE.AAAEI	7		Sumba	below-threshold	Southeast Asia	Southeast Asia			auto	14
Teotihuacan	AUZ.AAAAB.AAABZ.AAAFF.AAAAH.AAACG.AADWQ	6		Teotihuacan	below-threshold		North America	North America;Central America		auto	14
Potsdam	AUZ.AAAAB.AAABH.AAAQL.AAABS.AAILC	5		Potsdam	below-threshold	Germany	Europe			auto	14
San Jose	AUZ.AAAAB.AAABZ.AAAKC.AAAQT.AABJO.AAAER	6	California	San Jose	below-threshold	United States	North America			auto	14
Tanzania	AUZ.AAAAB.AAAAB.AAAEQ	3		Tanzania	country	Tanzania	Africa			auto	14
Geneva	AUZ.AAAAB.AAABH.AAAHG.AAABC	4		Geneva	country	Switzerland	Europe			auto	14
Myanmar	AUZ.AAAAB.AAAAJ.AAACA	3		Myanmar	country	Myanmar	Southeast Asia			auto	13
Bandung	AUZ.AAAAB.AAAAJ.AAAGH.AAAAJ.AAAAY.AAAAJ.AAAAE	7		Bandung	below-threshold	Southeast Asia	Southeast Asia			auto	13
Lake Titicaca	AUZ.AAAAB.AAACT.AAAFR	3		Lake Titicaca	country	Lake Titicaca	South America			auto	13
Honduras	AUZ.AAAAB.AAABZ.AAAEE	3		Honduras	country	Honduras	Central America			auto	13
New Jersey	AUZ.AAAAB.AAABZ.AAAKC.AAEFP	4	New Jersey	New Jersey	state	United States	North America			auto	13
Laon	AUZ.AAAAB.AAABH.AAASY.AAALU.AADNE	5		Laon	below-threshold	France	Europe			auto	13
Oruro	AUZ.AAAAB.AAACT.AAAAZ.AAAAR	4		Oruro	country	Bolivia	South America			auto	13
Solomon Islands	AUZ.AAAAB.AAACB.AAABS	3		Solomon Islands	country	Solomon Islands	Oceania			auto	13
Michoacan	AUZ.AAAAB.AAABZ.AAAFF.AAAAH.AAAAJ.AABJX	6		Michoacan	below-threshold		North America	North America;Central America		auto	13
Konya	AUZ.AAAAB.AAAAJ.AAAAF.AAAAD.AAAPQ	5		Konya	below-threshold	Achaemenid	East Asia			auto	13
Borneo	AUZ.AAAAB.AAAAJ.AAALK	3		Borneo	country	Borneo	East Asia			auto	12
Admiralty Islands	AUZ.AAAAB.AAABU.AAAAB.AAAAB.AAAAT.AAAAA	6		Admiralty Islands	below-threshold					review: no region rule	12
Bologna	AUZ.AAAAB.AAABH.AAAVP.AAACO.AAAAA	5		Bologna	below-threshold	Italy	Europe			auto	12
Yosemite	AUZ.AAAAB.AAABZ.AAAKC.AAAQT.AAAUZ.AAAJU	6	California	Yosemite	below-threshold	United States	North America			auto	12
Afyon	AUZ.AAAAB.AAAAJ.AAAAF.AAAAD.AAAAL	5		Afyon	below-threshold	Achaemenid	East Asia			auto	12
Klamath county	AUZ.AAAAB.AAABZ.AAAKC.AAENL.AAAIL	5	Oregon	Klamath county	below-threshold	United States	North America			auto	12
Amarete	AUZ.AAAAB.AAACT.AAAAZ.AAAAL.AAAAB	5		Amarete	below-threshold	Bolivia	South America			auto	12
Austria-Hungary	AUZ.AAAAB.AAABM.AAAAB.AAAAA	4		Austria-Hungary	country	Holy Roman Empire	Europe			auto	12
Angola	AUZ.AAAAB.AAAAB.AAAFZ	3		Angola	country	Angola	Africa			auto	12
Victoria Island	AUZ.AAAAB.AAABZ.AAAKC.AADTC.AAADY	5		Victoria Island	below-threshold	United States	North America			auto	12
Genoa	AUZ.AAAAB.AAABH.AAAVP.AAADQ.AAABO.AAAFI	6		Genoa	below-threshold	Italy	Europe			auto	12
Morocco	AUZ.AAAAB.AAAAB.AAAFV	3		Morocco	country	Morocco	Africa			auto	12
Cincinnati	AUZ.AAAAB.AAABZ.AAAKC.AAEMD.AAADK.AAAFM	6	Ohio	Cincinnati	below-threshold	United States	North America			auto	12
Prince Alexander Mountains	AUZ.AAAAB.AAABU.AAAAB.AAAAB.AAAAJ.AAAAU	6		Prince Alexander Mountains	below-threshold					review: no region rule	12
Holland	AUZ.AAAAB.AAABH.AAAQL.AAADY.AAKZB	5		Holland	below-threshold	Germany	Europe			auto	11
Selma	AUZ.AAAAB.AAABZ.AAAKC.AADSV.AAATF.AAAAJ	6	Alabama	Selma	below-threshold	United States	North America			auto	11
Benin	AUZ.AAAAB.AAAAB.AAAHE	3		Benin	country	Benin	Africa			auto	11
Santa Cruz	AUZ.AAAAB.AAABZ.AAAKC.AAAQT.AABJQ.AAAHN	6	California	Santa Cruz	below-threshold	United States	North America			auto	11
Brooklyn	AUZ.AAAAB.AAABZ.AAAKC.AAEFW.AAAYY.AAAAO.AAAAB	7	New York	Brooklyn	below-threshold	United States	North America			auto	11
Gujarat	AUZ.AAAAB.AAAAJ.AAAGG.AAAAK.AAAEH	5		Gujarat	below-threshold		East Asia			auto	11
Troyes	AUZ.AAAAB.AAABH.AAASY.AAAKH.AAJPY	5		Troyes	below-threshold	France	Europe			auto	11
Nicoya peninsula	AUZ.AAAAB.AAABZ.AAAFF.AAAAD.AAAAP	5		Nicoya peninsula	below-threshold		North America	North America;Central America		auto	11
Madagascar	AUZ.AAAAB.AAAAB.AAAOC	3		Madagascar	country	Madagascar	Africa			auto	11
Kentucky	AUZ.AAAAB.AAABZ.AAAKC.AADAF	4	Kentucky	Kentucky	state	United States	North America			auto	11
Rakhine State	AUZ.AAAAB.AAAAJ.AAAGH.AAAAB.AAABG	5		Rakhine State	below-threshold	Southeast Asia	Southeast Asia			auto	11
Istanbul	AUZ.AAAAB.AAAAJ.AAAAF.AAAAD.AAASN.AAAAD.AAAEP	7		Istanbul	below-threshold	Achaemenid	East Asia			auto	11
Pohnpei state	AUZ.AAAAB.AAACB.AAABB.AAAAA.AAAAB.AAAAC	6		Pohnpei state	below-threshold	Micronesia	Oceania			auto	11
Baliem Valley	AUZ.AAAAB.AAAAJ.AAAGH.AAAAJ.AAACI.AAAFF	6		Baliem Valley	below-threshold	Southeast Asia	Southeast Asia			auto	10
Cambridge	AUZ.AAAAB.AAABZ.AAAKC.AADRY.AAAFX.AAANK	6	Massachusetts	Cambridge	below-threshold	United States	North America			auto	10
Tokyo	AUZ.AAAAB.AAAAJ.AAANR.AAAAB.AAACJ.AAACF.AAAAG.AAAFV	8		Tokyo	below-threshold		East Asia			auto	10
Moscow	AUZ.AAAAB.AAABH.AAAGX.AAAAD.AAASI.AAABS.AAAAA	7		Moscow	below-threshold		Europe			auto	10
Kyjov	AUZ.AAAAB.AAABH.AAARM.AAAAJ.AAAAF.AAABG	6		Kyjov	below-threshold		Europe			review: country from TGN branch node	10
Nimrud	AUZ.AAAAB.AAAAJ.AAAAF.AAAAG.AAABL.AAAAG	6		Nimrud	below-threshold	Achaemenid	East Asia			auto	10
Aguas Calientes	AUZ.AAAAB.AAABZ.AAAFF.AAAAF.AAAAU.AAAAC	6		Aguas Calientes	below-threshold		North America	North America;Central America		auto	10
Andean region	AUZ.AAAAB.AAACT.AAAAN	3		Andean region	country	Andean region	South America			auto	10
Persia	AUZ.AAAAB.AAAAJ.AAADV	3		Persia	country	Persia	Middle East			auto	10
Maéwo	AUZ.AAAAB.AAACB.AAABY.AAAAJ.AAAAF	5		Maéwo	below-threshold	Vanuatu	Oceania			auto	10
Guerrero	AUZ.AAAAB.AAABZ.AAAFF.AAAAH.AAABO	5		Guerrero	below-threshold		North America	North America;Central America		auto	10
Brazil	AUZ.AAAAB.AAACT.AAABA	3		Brazil	country	Brazil	South America			auto	10
Yogyakarta	AUZ.AAAAB.AAAAJ.AAAGH.AAAAJ.AAAEG	5		Yogyakarta	below-threshold	Southeast Asia	Southeast Asia			auto	10
Lampung	AUZ.AAAAB.AAAAJ.AAAGH.AAAAJ.AAABO	5		Lampung	below-threshold	Southeast Asia	Southeast Asia			auto	10
Amazon Basin	AUZ.AAAAB.AAACT.AAAAU	3		Amazon Basin	country	Amazon Basin	South America			auto	10
Azerbaijan	AUZ.AAAAB.AAAAJ.AAAKS	3		Azerbaijan	country	Azerbaijan	East Asia			auto	10
Nevers	AUZ.AAAAB.AAABH.AAASY.AABRT.AAGHV	5		Nevers	below-threshold	France	Europe			auto	10
Chichicastenango	AUZ.AAAAB.AAABZ.AAAFF.AAAAF.AAAAX.AAAAB	6		Chichicastenango	below-threshold		North America	North America;Central America		auto	10
Portland	AUZ.AAAAB.AAABZ.AAAKC.AAENL.AAANX.AAAIU	6	Oregon	Portland	below-threshold	United States	North America			auto	10
Haida Gwaii	AUZ.AAAAB.AAABZ.AAAKC.AADTC.AAAAN.AAAEN	6		Haida Gwaii	below-threshold	United States	North America			auto	10
Potosi	AUZ.AAAAB.AAACT.AAAAZ.AAAAU	4		Potosi	country	Bolivia	South America			auto	10
Totonicapán	AUZ.AAAAB.AAABZ.AAAFF.AAAAF.AAABH.AAAAB	6		Totonicapán	below-threshold		North America	North America;Central America		auto	10
Chiapas	AUZ.AAAAB.AAABZ.AAAFF.AAAAH.AAAAJ.AAACA	6		Chiapas	below-threshold		North America	North America;Central America		auto	10
Winfield	AUZ.AAAAB.AAABZ.AAAKC.AAHJQ.AAAWU.AAAJG	6		Winfield	below-threshold	United States	North America			auto	10
Rehovot	AUZ.AAAAB.AAABY.AAAAG.AAAAJ.AAABC	5		Rehovot	below-threshold	Middle East	Middle East			auto	10
Lyon	AUZ.AAAAB.AAABH.AAASY.AABOE.AAJEM	5		Lyon	below-threshold	France	Europe			auto	10
Alabama	AUZ.AAAAB.AAABZ.AAAKC.AADSV.AAAAC	5	Alabama	Alabama	below-threshold	United States	North America			auto	10
Dublin	AUZ.AAAAB.AAABH.AAAOB.AAAAA.AAAAI.AAAFA.AAAAB.AAAAZ	8		Dublin	below-threshold		Europe			review: country from TGN branch node	9
Igloolik	AUZ.AAAAB.AAABZ.AAAKC.AADTC.AAACN.AAAET	6		Igloolik	below-threshold	United States	North America			auto	9
Montana	AUZ.AAAAB.AAABZ.AAAKC.AAEAL	4	Montana	Montana	state	United States	North America			auto	9
Senegal	AUZ.AAAAB.AAAAB.AAADO	3		Senegal	country	Senegal	Africa			auto	9
Fort Shalmaneser	AUZ.AAAAB.AAAAJ.AAAAF.AAAAG.AAABL.AAAAG.AAAAA	7		Fort Shalmaneser	below-threshold	Achaemenid	East Asia			auto	9
Gilford	AUZ.AAAAB.AAABZ.AAAKC.AAEFO.AAAAL.AAAEY	6	New Hampshire	Gilford	below-threshold	United States	North America			auto	9
Kuskokwim River	AUZ.AAAAB.AAABZ.AAAKC.AAHGI.AAAPQ	5	Alaska	Kuskokwim River	below-threshold	United States	North America			auto	9
New Orleans	AUZ.AAAAB.AAABZ.AAAKC.AADNZ.AAAIO.AAACM	6	Louisiana	New Orleans	below-threshold	United States	North America			auto	9
Polynesia	AUZ.AAAAB.AAACB.AAABO	3		Polynesia	country	Polynesia	Oceania			auto	9
Chillón River Valley	AUZ.AAAAB.AAACT.AAAEL.AAABK.AAABE	5		Chillón River Valley	below-threshold	Peru	South America			auto	9
Sicily	AUZ.AAAAB.AAABH.AAAVP.AAAFT	4		Sicily	admin (drop)	Italy	Europe			auto	9
Chucuito	AUZ.AAAAB.AAACT.AAAEL.AAABY.AAAAH	5		Chucuito	below-threshold	Peru	South America			auto	9
Providence	AUZ.AAAAB.AAABZ.AAAKC.AAFDT.AAABA.AAADD	6	Rhode Island	Providence	below-threshold	United States	North America			auto	9
