label	cn	tgn_depth	state	display_label	tier	country	region_auto	region_curator_fix	override_label	confidence	objects
Achiri	AUZ.AAAAB.AAACT.AAAAZ.AAAAL.AAACT.AAAAA	6		Achiri	below-threshold	Bolivia	South America			auto	5
Dagestan	AUZ.AAAAB.AAABH.AAAGX.AAAAD.AAAKE	5		Dagestan	below-threshold		Europe			auto	5
Arque	AUZ.AAAAB.AAACT.AAAAZ.AAAAF.AAAAE	5		Arque	below-threshold	Bolivia	South America			auto	5
Jerusalem	AUZ.AAAAB.AAABY.AAAAG.AAAAB	4		Jerusalem	country	Middle East	Middle East			auto	5
Chincheros	AUZ.AAAAB.AAACT.AAAEL.AAAAE.AAAAG	5		Chincheros	below-threshold	Peru	South America			auto	5
Delhi	AUZ.AAAAB.AAAAJ.AAAGG.AAAAK.AAADJ	5		Delhi	below-threshold		East Asia			auto	5
Guangxi	AUZ.AAAAB.AAAAJ.AAANR.AAAAC.AABCS	5		Guangxi	below-threshold		East Asia			auto	5
Palpa	AUZ.AAAAB.AAACT.AAAEL.AAABF.AAAAS	5		Palpa	below-threshold	Peru	South America			auto	5
Truk Atoll	AUZ.AAAAB.AAACB.AAABB.AAAAA.AAAAB.AAAAA.AAABB	7		Truk Atoll	below-threshold	Micronesia	Oceania			auto	5
Anggruk	AUZ.AAAAB.AAAAJ.AAAGH.AAAAJ.AAACI.AAAFF.AAAAB	7		Anggruk	below-threshold	Southeast Asia	Southeast Asia			auto	5
Mopti	AUZ.AAAAB.AAAAB.AAAOI.AAAAX	4		Mopti	country	Mali	Africa			auto	5
Quetzaltenango	AUZ.AAAAB.AAABZ.AAAFF.AAAAF.AAAAW	5		Quetzaltenango	below-threshold		North America	North America;Central America		auto	5
Mesopotamia	AUZ.AAAAB.AAAAJ.AAABM	3		Mesopotamia	country	Mesopotamia	Middle East			auto	5
Jodhpur	AUZ.AAAAB.AAAAJ.AAAGG.AAAAK.AAAEM.AAARZ	6		Jodhpur	below-threshold		East Asia			auto	5
Tuscany	AUZ.AAAAB.AAABH.AAAVP.AAAGE	4		Tuscany	admin (drop)	Italy	Europe			auto	5
Pacajes	AUZ.AAAAB.AAACT.AAAAZ.AAAAL.AAACT	5		Pacajes	below-threshold	Bolivia	South America			auto	5
Verona	AUZ.AAAAB.AAABH.AAAVP.AAAGP.AAAAF	5		Verona	below-threshold	Italy	Europe			auto	5
Kotah	AUZ.AAAAB.AAAAJ.AAAGG.AAAAK.AAAIG.AADQY	6		Kotah	below-threshold		East Asia			auto	5
Ulúa	AUZ.AAAAB.AAABZ.AAAFF.AAAAG.AAABI	5		Ulúa	below-threshold		North America	North America;Central America		auto	5
Tamazulapan	AUZ.AAAAB.AAABZ.AAAFF.AAAAH.AAACS.AAEYH	6		Tamazulapan	below-threshold		North America	North America;Central America		auto	5
Hernando	AUZ.AAAAB.AAABZ.AAAKC.AADZE.AABHH.AAABD	6	Mississippi	Hernando	below-threshold	United States	North America			auto	5
Little Rock	AUZ.AAAAB.AAABZ.AAAKC.AAHJQ.AAAUI.AAAPI	6		Little Rock	below-threshold	United States	North America			auto	5
Rajput	AUZ.AAAAB.AAAAJ.AAAGG.AAAAK.AAAIH	5		Rajput	below-threshold		East Asia			auto	5
Malakula	AUZ.AAAAB.AAACB.AAABY.AAAAG	4		Malakula	country	Vanuatu	Oceania			auto	5
Pitumarca	AUZ.AAAAB.AAACT.AAAEL.AAAAW.AAABV	5		Pitumarca	below-threshold	Peru	South America			auto	5
