section	subcategory	specific	tokens	objects
Drawing	Other drawing media	Oil transfer drawing	1	2
Other / unclassified	Other / unclassified	Cellophane	1	2
Decorative & other materials	Other material	Alder	1	2
Other / unclassified	Other / unclassified	Chiaroscuro	1	2
Ceramic & glass	Other ceramic	Pipe clay	1	2
Textile	Other textile	Tweed	1	2
Decorative & other materials	Plastic & synthetic	Epoxy resin	1	2
Decorative & other materials	Other material	Chamois	1	2
Ceramic & glass	Other ceramic & glass	Biscuit	1	2
Other / unclassified	Other / unclassified	Shellac	1	2
Decorative & other materials	Other material	Marabou	1	2
Other / unclassified	Other / unclassified	Inlay	1	2
Other / unclassified	Other / unclassified	Deerskin	1	2
Other / unclassified	Other / unclassified	Neoprene	1	2
Textile	Other textile	Charmeuse	1	2
Textile	Other textile	Metallic paper	1	1
Textile	Other textile	Glassine	1	1
Drawing	Metalpoint	Silverpoint	1	1
Decorative & other materials	Wood	Wood veneer	1	1
Painting	Other paint	Reverse painting on glass	1	1
Other / unclassified	Other / unclassified	Varnish	1	1
Decorative & other materials	Other material	Linden	1	1
Other / unclassified	Other / unclassified	Emerald	1	1
Decorative & other materials	Other material	Celluloid	1	1
Other / unclassified	Other / unclassified	Chalcedony	1	1
Textile	Other textile	Gampi	1	1
Decorative & other materials	Other material	Cobalt	1	1
Textile	Other textile	Poplin	1	1
Decorative & other materials	Other material	Elm	1	1
Other / unclassified	Other / unclassified	Cord quilting	1	1
Other / unclassified	Other / unclassified	Malachite	1	1
Other / unclassified	Other / unclassified	Shale	1	1
Other / unclassified	Other / unclassified	Aniline dye	1	1
Other / unclassified	Other / unclassified	Clipping	1	1
Other / unclassified	Other / unclassified	Gypsum cement	1	1
Other / unclassified	Other / unclassified	Tatting	1	1
Decorative & other materials	Other material	Pear	1	1
Painting	Other paint	Enamel paint	1	1
Other / unclassified	Other / unclassified	Black slate	1	1
Painting	Other paint	Vinyl paint	1	1
Painting	Other paint	Silver paint	1	1
Decorative & other materials	Other material	Sitka spruce	1	1
Textile	Other textile	Bias tape	1	1
Other / unclassified	Other / unclassified	Caribou hair	1	1
Textile	Other textile	Chambray	1	1
Other / unclassified	Other / unclassified	Stitching	1	1
Other / unclassified	Other / unclassified	Tabby	1	1
Decorative & other materials	Other material	Laurel	1	1
Other / unclassified	Other / unclassified	Bitumen	1	1
Other / unclassified	Other / unclassified	Angora	1	1
Decorative & other materials	Other material	Tooth	1	1
Other / unclassified	Other / unclassified	Drying	1	1
Other / unclassified	Other / unclassified	Schist	1	1
Other / unclassified	Other / unclassified	Yak hair	1	1
Decorative & other materials	Other material	Fruitwood	1	1
Other / unclassified	Other / unclassified	Moonstone	1	1
Other / unclassified	Other / unclassified	Pyrite	1	1
Other / unclassified	Other / unclassified	Brocading	1	1
Ceramic & glass	Other ceramic & glass	Adobe	1	1
Other / unclassified	Other / unclassified	Tukula	1	1
Other / unclassified	Other / unclassified	Opal	1	1
Decorative & other materials	Other material	Sycamore	1	1
Other / unclassified	Other / unclassified	Knotting	1	1
Other / unclassified	Other / unclassified	Fleece	1	1
Decorative & other materials	Other material	Purpleheart	1	1
Decorative & other materials	Other material	Nickel	1	1
Decorative & other materials	Other material	Down	1	1
Other / unclassified	Other / unclassified	Soil	1	1
Drawing	Other drawing media	Stumping	1	1
Other / unclassified	Other / unclassified	Foam	1	1
Other / unclassified	Other / unclassified	Nephrite	1	1
Other / unclassified	Other / unclassified	Paper pulp	1	1
Other / unclassified	Other / unclassified	Oxides	1	1
Other / unclassified	Other / unclassified	Neon	1	1
Other / unclassified	Other / unclassified	Xerography	1	1
Decorative & other materials	Other material	Pea gravel	1	1
Other / unclassified	Other / unclassified	Serpentinite	1	1
Other / unclassified	Other / unclassified	Calligraphy	1	1
Other / unclassified	Other / unclassified	Felting	1	1
Other / unclassified	Other / unclassified	Garnet	1	1
Decorative & other materials	Other material	Olive	1	1
Other / unclassified	Other / unclassified	Mosaic	1	1
Decorative & other materials	Other material	White metal	1	1
Decorative & other materials	Other material	Quill	1	1
Other / unclassified	Other / unclassified	Cinnabar	1	1
Other / unclassified	Other / unclassified	Patterning	1	1
Decorative & other materials	Other material	Sawdust	1	1
Painting	Other paint	Magna	1	1
Other / unclassified	Other / unclassified	Doeskin	1	1
Ceramic & glass	Earthenware & stoneware	Other	1	1
Other / unclassified	Other / unclassified	Andesite	1	1
Other / unclassified	Other / unclassified	Tinsel	1	1
Other / unclassified	Other / unclassified	Granodiorite	1	1
Other / unclassified	Other / unclassified	Wicker	1	1
Decorative & other materials	Other material	Bullion	1	1
Other / unclassified	Other / unclassified	Camel hair	1	1
Textile	Natural fiber (silk, wool, cotton)	Jute	1	1
Other / unclassified	Other / unclassified	Marcasite	1	1
Painting	Oil	Linseed oil	1	1
Painting	Other paint	Aluminum paint	1	1
Textile	Other textile	Gingham	1	1
Other / unclassified	Other / unclassified	Seed	1	1
Other / unclassified	Other / unclassified	Asphalt	1	1
Textile	Other textile	Blue paper	1	1
Textile	Other textile	Faille	1	1
Other / unclassified	Other / unclassified	Fulling	1	1
Sculpture	Marble	Marbled paper	1	1
Other / unclassified	Other / unclassified	Root	1	1
Textile	Other textile	Twill tape	1	1
Other / unclassified	Other / unclassified	Calcite	1	1
Other / unclassified	Other / unclassified	Keratin	1	1
Other / unclassified	Other / unclassified	Duct tape	1	1
Ceramic & glass	Other ceramic	Unfired clay	1	1
Drawing	Other drawing media	Graph paper	1	1
Textile	Other textile	Paperboard	1	1
Decorative & other materials	Other material	Hawthorn	1	1
Other / unclassified	Other / unclassified	Indigo	1	1
Decorative & other materials	Other material	Koa	1	1
Other / unclassified	Other / unclassified	Job's tears	1	1
Photograph	Gelatin silver print	Silver gelatin paper	1	1
Textile	Other textile	Warp twining	1	1
Other / unclassified	Other / unclassified	Frankincense	1	1
Painting	Other paint	Mixed technique	1	1
Decorative & other materials	Wood	Wood inlay	1	1
Decorative & other materials	Other material	Holly	1	1
Other / unclassified	Other / unclassified	Ruby	1	1
Other / unclassified	Other / unclassified	Carving	1	1
Other / unclassified	Other / unclassified	Caning	1	1
Decorative & other materials	Wood	Black walnut	1	1
Other / unclassified	Other / unclassified	Tobacco	1	1
Decorative & other materials	Other material	Chicken wire	1	1
Textile	Other textile	Bast	1	1
Textile	Other textile	Sisal	1	1
Other / unclassified	Other / unclassified	Scratching	1	1
Decorative & other materials	Other material	Polypropylene	1	1
Other / unclassified	Other / unclassified	Rhodonite	1	1
Photograph	Digital / inkjet print	Xerox	1	1
