token	section	subcategory	specific	suppress
""" ""a.j.b."""	Other	""	""	false
""" all edges gilt"	Metal	Gilt + gold leaf	Gilt	false
""" and on rear doublure"	Other	""	""	false
""" and on rear doublure ""1969"	Other	""	""	false
""" and on rear doublure ""1989"""	Other	""	""	false
""" fine bound in black morocco leather"	Organic	Leather + hide	Leather	false
""" stamp of ""exposition p.l. martin"	Other	""	""	false
"""1985"	Other	""	""	false
"""ad. leroy-dor"""	Other	""	""	false
"""blonde"" lace"	Textiles + fiber	Lace	""	false
"""book"" with two cloth covered boards"	Textiles + fiber	Other woven textiles	Cloth	false
"""burano point"" needle lace (copy of alencon)"	Textiles + fiber	Lace	""	false
"""creuzvault"""	Other	""	""	false
"""dadamade"" collage with 2 calf shoe insoles bearing stamped copy number and signature"	Paint + pigment	Surface technique	Collage	false
"""genoa"" lace"	Textiles + fiber	Lace	""	false
"""genoa"" or english bobbin guipure lace"	Textiles + fiber	Lace	""	false
"""gothico"" lace"	Textiles + fiber	Lace	""	false
"""gothico"" or genoese bell- point lace"	Textiles + fiber	Lace	""	false
"""gothique"" lace"	Textiles + fiber	Lace	""	false
"""gothique"" needle lace"	Textiles + fiber	Lace	""	false
"""gothique""(reticello and punto in aria) lace"	Textiles + fiber	Lace	""	false
"""gras"""	Other	""	""	false
"""italino"" lace"	Textiles + fiber	Lace	""	false
"""leroux"	Other	""	""	false
"""malino mechlin"" lace"	Textiles + fiber	Lace	""	false
"""milano"" lace"	Textiles + fiber	Lace	""	false
"""mosaic"" piecework"	Other	""	""	false
"""paper"" (cellulose and cotton)"	Paper + parchment	Paper	""	false
"""plush wood"""	Organic	Wood + plant	Wood	false
"""process print"" illustration on arches laid paper"	Paper + parchment	Paper	Laid paper	false
"""process print"" illustration on arches wove paper"	Paper + parchment	Paper	Wove paper	false
"""snake skin"""	Other	""	""	false
"""tibetan"" knot"	Other	""	""	false
"""tortoise shell"""	Organic	Shell + pearl	Tortoise shell	false
"""venezia"" lace"	Textiles + fiber	Lace	""	false
"""veneziana roccoco"" lace"	Textiles + fiber	Lace	""	false
"""veneziana"" bobbin tape guipure lace"	Textiles + fiber	Lace	""	false
"""veneziana"" or genoese tape guipure lace"	Textiles + fiber	Lace	""	false
' brocatelle'	Other	""	""	false
'brocatelle' damask with supplementary weft	Textiles + fiber	Weaving	Supplementary-weft patterning	false
'fleur-de-lis in a circle')	Other	""	""	false
'high crown')	Other	""	""	false
'three circles pierced by an arrow')	Other	""	""	false
(1) pencil on paper (2) photocopy	Ink + drawing	Pencil + graphite	Pencil	false
(16 wood engravings [including duplicate on wrapper front] and 5-page wood-engraved table of plates by georges aubert	Prints	Wood engraving	""	false
(?) watercolor and paint on board	Paint + pigment	Watercolour + wash	Watercolor	false
(a	Other	""	""	false
(a) bisque	Other	""	""	false
(a) coated silk	Textiles + fiber	Silk	""	false
(a) cotton	Textiles + fiber	Cotton	""	false
(a) cotton velvet	Textiles + fiber	Cotton	""	false
(a) lace	Textiles + fiber	Lace	""	false
(a) leather	Organic	Leather + hide	Leather	false
(a) leopard fur	Organic	Hair, fur + feather	Fur	false
(a) linen gauze with supplementary weft patterning	Textiles + fiber	Other woven textiles	Linen	false
(a) marbleized silk organza	Textiles + fiber	Silk	""	false
(a) painted wood and straw	Paint + pigment	Paint	Painted	false
(a) printed	Other	""	""	false
(a) printed and padded cotton twill and cotton fleece with cotton embroidery (running stitches)	Textiles + fiber	Embroidery	""	false
(a) printed cotton terry	Textiles + fiber	Cotton	""	false
(a) printed synthetic faille	Inorganic	Synthetic	""	false
(a) resist-dyed cotton corduroy with cotton embroidery (running stitches)	Textiles + fiber	Embroidery	""	false
(a) silk	Textiles + fiber	Silk	""	false
(a) silk chiffon	Textiles + fiber	Silk	Silk chiffon	false
(a) silk crepe	Textiles + fiber	Silk	Silk crepe	false
(a) silk devoré	Textiles + fiber	Silk	""	false
(a) synthetic net	Textiles + fiber	Other woven textiles	Net	false
(a) wool	Textiles + fiber	Wool	""	false
(a) wool and cotton tweed	Textiles + fiber	Cotton	""	false
(a) wool knit	Textiles + fiber	Wool	""	false
(a-b) detergent bottles	Other	""	""	false
(a-d) cotton	Textiles + fiber	Cotton	""	false
(and cotton?	Textiles + fiber	Cotton	""	false
(b) cotton	Textiles + fiber	Cotton	""	false
(b) cotton knit (bouclé)	Textiles + fiber	Cotton	""	false
(b) cotton plain weave	Textiles + fiber	Cotton	""	false
(b) embossed faux leather	Organic	Leather + hide	Leather	false
(b) leather	Organic	Leather + hide	Leather	false
(b) leopard fur	Organic	Hair, fur + feather	Fur	false
(b) moiré silk	Textiles + fiber	Silk	""	false
(b) muslin	Other	""	""	false
(b) painted cotton with cotton embroidery (running stitches) and cotton chenille	Paint + pigment	Paint	Painted	false
(b) paper	Paper + parchment	Paper	""	false
(b) plastic	Inorganic	Plastic	""	false
(b) rayon	Textiles + fiber	Other woven textiles	Rayon	false
(b) resist-dyed cotton corduroy with cotton embroidery (running stitches)	Textiles + fiber	Embroidery	""	false
(b) resist-dyed cotton with cotton embroidery (satin stitches)	Textiles + fiber	Embroidery	""	false
(b) silk	Textiles + fiber	Silk	""	false
(b) silk velvet	Textiles + fiber	Silk	Silk velvet	false
(b) suede	Organic	Leather + hide	Suede	false
(b) synthetic	Inorganic	Synthetic	""	false
(b) synthetic net	Textiles + fiber	Other woven textiles	Net	false
(b) synthetic plain weave	Inorganic	Synthetic	""	false
(b) wool	Textiles + fiber	Wool	""	false
(b) wool and cotton tweed	Textiles + fiber	Cotton	""	false
(b) wool: twill weave with supplementary warp patterning and palstic buttons	Textiles + fiber	Wool	""	false
(c) cotton	Textiles + fiber	Cotton	""	false
(c) cotton knit (bouclé)	Textiles + fiber	Cotton	""	false
(c) fulled cotton knit	Textiles + fiber	Cotton	""	false
(c) glitter calf hair	Organic	Hair, fur + feather	Hair	false
(c) leather with leather covered buckle	Organic	Leather + hide	Leather	false
(c) printed cotton fleece	Textiles + fiber	Cotton	""	false
(c) silk	Textiles + fiber	Silk	""	false
(c) silk and acetate	Textiles + fiber	Silk	""	false
(c) suede	Organic	Leather + hide	Suede	false
(c) syntehtic velvet	Textiles + fiber	Other woven textiles	Velvet	false
(c) synthetic	Inorganic	Synthetic	""	false
(c) synthetic net with cotton and metallic thread embroidery (satin stitch)	Textiles + fiber	Yarn + thread	Thread	false
(c) wool	Textiles + fiber	Wool	""	false
(c) wool twill	Textiles + fiber	Wool	""	false
(c-d) astroturf	Other	""	""	false
(cotton lining)	Textiles + fiber	Cotton	""	false
(crows)	Other	""	""	false
(d) cotton	Textiles + fiber	Cotton	""	false
(d) cotton canvas	Textiles + fiber	Cotton	""	false
(d) cotton knit (bouclé)	Textiles + fiber	Cotton	""	false
(d) cotton velvet	Textiles + fiber	Cotton	""	false
(d) fulled cotton knit	Textiles + fiber	Cotton	""	false
(d) plastic	Inorganic	Plastic	""	false
(d) silk velvet	Textiles + fiber	Silk	Silk velvet	false
(d) suede	Organic	Leather + hide	Suede	false
(d) wool	Textiles + fiber	Wool	""	false
(e) cotton	Textiles + fiber	Cotton	""	false
(e) cotton canvas	Textiles + fiber	Cotton	""	false
(e) glass beads	Textiles + fiber	Trimmings	Bead	false
(e) palm leaf soyate	Other	""	""	false
(e) plaited straw	Organic	Wood + plant	Straw	false
(e) plywood	Organic	Wood + plant	Plywood	false
(e) printed cotton	Textiles + fiber	Cotton	""	false
(e) printed nylon	Textiles + fiber	Other woven textiles	Nylon	false
(e) silk	Textiles + fiber	Silk	""	false
(e) spray painted glass	Paint + pigment	Paint	Painted	false
(e) straw	Organic	Wood + plant	Straw	false
(e) wool	Textiles + fiber	Wool	""	false
(etchings in book)	Prints	Etching	""	false
(f) cotton	Textiles + fiber	Cotton	""	false
(f) cotton plain weave	Textiles + fiber	Cotton	""	false
(f) rubber	Other	""	""	false
(f-g) wool	Textiles + fiber	Wool	""	false
(five birds in branches on purple)	Other	""	""	false
(frame design by frank lloyd wright)	Other	""	""	false
(g) cotton plain weave	Textiles + fiber	Cotton	""	false
(g) painted statue	Paint + pigment	Paint	Painted	false
(goat?) hair	Organic	Hair, fur + feather	Hair	false
(h) and (i) knit	Other	""	""	false
(j) and (k) coated cotton plain weave	Textiles + fiber	Cotton	""	false
(l) and (m) brass	Metal	Brass	""	false
(paste?) resist dyeing	Textiles + fiber	Dyeing	""	false
(recto) black chalk with traces of white chalk on laid paper	Ink + drawing	Chalk + crayon	Chalk	false
(recto) black chalk with white chalk on blue paper discolored to brown	Ink + drawing	Chalk + crayon	Chalk	false
(recto) blue ballpoint pen	Ink + drawing	Ink	Pen	false
(recto) graphite and black crayon with asphaltum smears and fingerprints with masking tape	Ink + drawing	Chalk + crayon	Crayon	false
(recto) graphite drawing with asphaltum smears	Ink + drawing	Pencil + graphite	Graphite	false
(recto) graphite on machine-made simulated japanese paper	Ink + drawing	Pencil + graphite	Graphite	false
(recto) graphite on yellow laid paper with masking tape	Ink + drawing	Pencil + graphite	Graphite	false
(recto) graphite with asphaltum finger prints on japanese paper with masking tape	Ink + drawing	Pencil + graphite	Graphite	false
(recto) graphite with asphaltum finger prints on laid paper with masking tape	Ink + drawing	Pencil + graphite	Graphite	false
(recto) pen and black ink over traces of black chalk with white opaque watercolor on paper	Paint + pigment	Watercolour + wash	Watercolor	false
(recto) pen and brown ink	Ink + drawing	Ink	""	false
(recto) pen and brown ink and brown wash over black chalk on laid paper	Ink + drawing	Chalk + crayon	Chalk	false
(recto) pen and brown ink and brown wash over red chalk with black chalk on laid paper	Ink + drawing	Chalk + crayon	Chalk	false
(recto) pen and brown ink and gray wash over traces of graphite on paper	Paint + pigment	Watercolour + wash	Wash	false
(recto) pen and brown ink and gray-brown wash with opaque watercolor over black chalk on paper	Paint + pigment	Watercolour + wash	Watercolor	false
(recto) pen and brown ink and wash on paper	Ink + drawing	Ink	""	false
(recto) pen and brown ink and wash over traces of black chalk on paper	Ink + drawing	Chalk + crayon	Chalk	false
(sea weed printed on green)	""	""	""	true
(turned warp)	Other	""	""	false
(verso) asphaltum and soft ground lift-off	Prints	Etching	Soft-ground etching	false
(verso) black chalk with traces of red chalk	Ink + drawing	Chalk + crayon	Chalk	false
(verso) black chalk with traces of white chalk	Ink + drawing	Chalk + crayon	Chalk	false
(verso) black chalk with white chalk	Ink + drawing	Chalk + crayon	Chalk	false
(verso) drawing with soft ground	Ink + drawing	Drawing	""	false
(verso) graphite and black chalk	Ink + drawing	Chalk + crayon	Chalk	false
(verso) graphite on paper	Ink + drawing	Pencil + graphite	Graphite	false
(verso) pen and brown ink and black chalk on paper	Ink + drawing	Chalk + crayon	Chalk	false
(verso) pen and brown ink and brown wash	Paint + pigment	Watercolour + wash	Wash	false
(verso) pen and brown ink and gray-brown wash with opaque watercolor over black chalk on paper	Paint + pigment	Watercolour + wash	Watercolor	false
(verso) pen and brown ink on paper	Ink + drawing	Ink	""	false
(verso) red and black chalks on paper	Ink + drawing	Chalk + crayon	Chalk	false
(verso) soft ground lift-lines and asphaltum and masking tape	Prints	Etching	Soft-ground etching	false
(verso) soft ground lift-off	Prints	Etching	Soft-ground etching	false
(white acrylic paint?) and collage	Paint + pigment	Acrylic	""	false
)	Other	""	""	false
) on cream antique laid paper with watermark: fool's cap	Paper + parchment	Paper	Laid paper	false
"*"""	Other	""	""	false
.....	Other	""	""	false
.14	Other	""	""	false
.f.'	Other	""	""	false
1	Other	""	""	false
1 (a duplicate of one of the 16) on parchment cover)	Paper + parchment	Parchment + vellum	Parchment	false
1 aquatint with drypoint and etching on bfk rives paper	Prints	Aquatint	""	false
1 black with cancel mark	Other	""	""	false
1 blind embossed plate for cover on wove wrappers	Metal	Plate	""	false
1 buisiness card stapled in back	Other	""	""	false
1 color line block (cover)	Prints	Line block	""	false
1 color lithograph	Prints	Lithograph	""	false
1 color lithograph on front	Prints	Lithograph	""	false
1 color) on arches wove paper	Paper + parchment	Paper	Wove paper	false
1 drypoint	Prints	Drypoint	""	false
1 drypoint on celluloid printed on arches wove paper	Prints	Drypoint	""	false
1 drypoint on celluloid printed on laid auvergne paper	Prints	Drypoint	""	false
1 drypoint on cover	Prints	Drypoint	""	false
1 drypoint on cream japon wrappers	Prints	Drypoint	""	false
1 drypoint on parchment wrapper and 12 engravings with burin on chine satine	Prints	Engraving	""	false
1 drypoint on vieux japon and an extra drypoint on chine in an arches wove wrapper	Prints	Drypoint	""	false
1 drypoint with burin and monopoint coloring	Prints	Drypoint	""	false
1 embossed and 1 punched out	Other	""	""	false
1 embossing on rives bfk wove paper	Paper + parchment	Paper	Wove paper	false
1 engraving	Prints	Engraving	""	false
1 engraving with burin and drypoint on japon ancien	Prints	Engraving	""	false
1 engraving with burin on celluloid printed on arches wove paper	Prints	Engraving	""	false
1 engraving) on cream wove paper	Prints	Engraving	""	false
1 etching after a drawing and 8 loose illustrations (4 etchings after drawings and 4 drypoints)	Prints	Drypoint	""	false
1 etching and drypoint	Prints	Drypoint	""	false
1 etching on japon nacre	Prints	Etching	""	false
1 etching on lafuma pur fil wove paper laid in	Prints	Etching	""	false
1 etching on montval laid paper	Prints	Etching	""	false
1 etching with aquatint and burin on holland van gelder wove paper	Prints	Aquatint	""	false
1 foam and velvet object (folder front)	Textiles + fiber	Other woven textiles	Velvet	false
1 folded map	Other	""	""	false
1 gold leaf embossed illustration on wove paper	Paper + parchment	Paper	Wove paper	false
1 grey) within a dark blue background	Other	""	""	false
1 hand colored lithograph	Prints	Lithograph	""	false
1 in black	Other	""	""	false
1 in black and red on the cover	Other	""	""	false
1 inlacing (dukagong)	Other	""	""	false
1 linoleum cut on arches wove paper	Paper + parchment	Paper	Wove paper	false
1 lithograph	Prints	Lithograph	""	false
1 lithograph and 100 reproduction illustrations after engravings on wove arches paper	Prints	Lithograph	""	false
1 lithograph with hand coloring on holland van gelder paper	Prints	Lithograph	""	false
1 loose and probably unrelated engraving	Prints	Engraving	""	false
1 on acetate	Inorganic	Acetate	""	false
1 on silk moiré fabric	Textiles + fiber	Other woven textiles	Fabric	false
1 on the colophon page)	Other	""	""	false
1 original drawing with hand coloring mounted on a tipped-in leaf	Ink + drawing	Drawing	""	false
1 photograph attached to center front cover with black paper mounting corners	Prints	Photographic process	Photograph	false
1 photogravure	Prints	Photogravure	""	false
1 photogravure citation: 21 etchings and poems by dotremont	Prints	Photogravure	""	false
1 repeated on the cover)	Other	""	""	false
1 soft ground etching and aquatint on bfk rives paper	Prints	Aquatint	""	false
1 stipple engraving	Prints	Engraving	""	false
1 to 2 plates	Metal	Plate	""	false
1 transfer lithograph in color	Prints	Lithograph	""	false
1 with color and embossing) on arches wove paper	Paper + parchment	Paper	Wove paper	false
1 with soft ground etching	Prints	Etching	""	false
1 wood engraving	Prints	Wood engraving	""	false
1 woodcut on cloth with hand-coloring by the artist as the cover	Prints	Woodcut	""	false
1 woodcut on colophon page	Prints	Woodcut	""	false
10	Other	""	""	false
10 aquatints	Prints	Aquatint	""	false
10 aquatints on rives wove paper	Prints	Aquatint	""	false
10 die-cut cards	Other	""	""	false
10 engravings (including slipcase front) (1 with aquatint and roulette	Prints	Engraving	""	false
10 typed and annotated sheets of paper	Paper + parchment	Paper	""	false
100	Other	""	""	false
100 plates	Metal	Plate	""	false
100)	Other	""	""	false
101 etchings	Prints	Etching	""	false
101 with hand coloring	Ink + drawing	Hand colouring	""	false
105 wood engravings	Prints	Wood engraving	""	false
11 color screenprint	Prints	Screenprint	""	false
11 images (7 by the credited artist	Other	""	""	false
11 printed in black	Other	""	""	false
11 with hand coloring on hoshu paper	Ink + drawing	Hand colouring	""	false
11 woodcuts in text	Prints	Woodcut	""	false
11woodcuts (one printed in red)	Prints	Woodcut	""	false
12 chapter headings	Other	""	""	false
12 color lithograph	Prints	Lithograph	""	false
12 color screenprints printed in day-glo inks bound into a magazine	Prints	Screenprint	""	false
12 drawings on tracing paper	Ink + drawing	Drawing	""	false
12 engravings and 1 etching with drypoint and burin on parchemin rustique	Prints	Engraving	""	false
12 engravings repeated to total 27 illustrations used as backdrops for the initial letters in red and black) on zerkall paper	Prints	Engraving	""	false
12 etchings on romani wove paper and 1 engraving with burin on arches wove paper	Prints	Engraving	""	false
12 heliogravure reproductions after photographs on cream wove paper	Paper + parchment	Paper	Wove paper	false
12 letterpress pages	Prints	Letterpress	""	false
12 lithographs on ile-de-france et lana pur chiffon paper	Prints	Lithograph	""	false
12 vignettes	Other	""	""	false
128 color woodcuts	Prints	Woodcut	""	false
13 color photogravure etchings on cream paper	Prints	Photogravure	""	false
13 decorative initials	Other	""	""	false
13 engravings in text	Prints	Engraving	""	false
130 c-print photographs mounted on aluminum	Prints	Photographic process	Photograph	false
133 engravings on 87 pages	Prints	Engraving	""	false
14 smaller lithographs in text	Prints	Lithograph	""	false
14 transfer lithographs	Prints	Lithograph	""	false
14 with reproduction of drawing printed from polymer plates on shiny black paperr	Ink + drawing	Drawing	""	false
147 linoleum cuts on japon ancien and 1 on wrapper	Other	""	""	false
14k gold	Metal	Gold	""	false
14k gold and enamel	Metal	Enamel	""	false
15 color lithograph	Prints	Lithograph	""	false
15 color lithographs on marais paper	Prints	Lithograph	""	false
15 decorative initials	Other	""	""	false
15 full-page and uncounted small reproductions of woodcuts and color woodcuts	Prints	Woodcut	""	false
15 in text	Other	""	""	false
15 lithographs on montval paper	Prints	Lithograph	""	false
15 with yellow varnish tint overprinting	""	""	""	true
15)	Other	""	""	false
16 end devices	Other	""	""	false
16 ink and wash drawings and typewritten inserts	Ink + drawing	Drawing	""	false
16 plate ambrotype in thermoplastic union case	Metal	Plate	""	false
16 plate ambrotype with hand coloring in case	Metal	Plate	""	false
16-parts	Other	""	""	false
17	Other	""	""	false
17 wood engravings printed in brown ink	Ink + drawing	Ink	""	false
17 woodcuts on laid paper	Prints	Woodcut	""	false
17th-century blanc de chine porcelain figure	Ceramic	Porcelain	""	false
18 chapter headings	Other	""	""	false
18 color lithographs (3 to a page)	Prints	Lithograph	""	false
18 etchings (executed in 1932 for ambroise vollard) and 3 photogravures on auvergne paper	Prints	Photogravure	""	false
18 in clor	Other	""	""	false
18 lithographs	Prints	Lithograph	""	false
18 reproductions of photographs	Prints	Photographic process	Photograph	false
1825	Other	""	""	false
1826	Other	""	""	false
19 color monotype mounted on 9 sheets of unbound book in portfolio box	Prints	Monotype	""	false
19 pieced and sewn cotton strips	Textiles + fiber	Cotton	""	false
1921	Other	""	""	false
"1929"" containing 6 black lithographs"	Prints	Lithograph	""	false
1942' (lower left)	Other	""	""	false
195 engravings on chine collé	Prints	Engraving	""	false
1960). reva and david logan collection. 2001.121.1.1-24 oclc number: 16641900	Other	""	""	false
1975 photomechanical reproduction of etching	Prints	Photomechanical	""	false
1990	Other	""	""	false
1993	Other	""	""	false
1etching with aquatint in color on chine colle on white wove umbria paper	Prints	Aquatint	""	false
1wood engraving	Prints	Wood engraving	""	false
2	Other	""	""	false
2 aquatints	Prints	Aquatint	""	false
2 b	Other	""	""	false
2 bamboo	Organic	Wood + plant	Bamboo	false
2 books die-cut loose sheets	Other	""	""	false
2 books with total of 104 woodcuts plus total of 144 woodcuts in portfolio	Prints	Woodcut	""	false
2 cardboard protectors folded around wrappers	Paper + parchment	Paper	Cardboard	false
2 clichés verre)	Other	""	""	false
2 color lithograph	Prints	Lithograph	""	false
2 copper	Metal	Copper	""	false
2 cover illustrations	Other	""	""	false
2 decorations	Other	""	""	false
2 drypoints	Prints	Drypoint	""	false
2 drypoints on celluloid printed on laid auvergne paper	Prints	Drypoint	""	false
2 engraved architectural views	Other	""	""	false
2 engraved title vignettes	Other	""	""	false
2 engravings	Prints	Engraving	""	false
2 etchings	Prints	Etching	""	false
2 etchings with aquatint on chine colle on japon imperial	Prints	Aquatint	""	false
2 extra suites of 22 etchings	Prints	Etching	""	false
2 extra suites together comprising 6 etchings with aquatint on japon ancien	Prints	Aquatint	""	false
2 inch hot rolled steel plate	Metal	Steel	""	false
2 interleaved etching proofs	Prints	Etching	""	false
2 metal staples	Metal	""	""	false
2 original drawings: 1 of scattered images in black ink and gouache on calico	Ink + drawing	Ink	""	false
2 outer covers are heavy beige wove paper--richard de bas	Paper + parchment	Paper	""	false
2 plate ambrotype with hand coloring in thermoplastic union case	Metal	Plate	""	false
2 plate daguerreotype	Metal	Plate	""	false
2 reverse twill (top	Other	""	""	false
2 sheets joined	Other	""	""	false
"2 suites (24 images each) loose in wrappers printed in green and grey: 1) on thin mulberry paper with ""picasso"" watermark"	""	""	""	true
2 suites: 1) of 17 lithographs on china paper	Prints	Lithograph	""	false
2 twill with supplementary-weft pile	Textiles + fiber	Weaving	Supplementary-weft patterning	false
2 video cassetes (vhs) + 1 compact	Other	""	""	false
2 volume book with etchings	Prints	Etching	""	false
2 with a spot of paint from the artist's fingertip	Paint + pigment	Paint	""	false
2 woodcut engravings (on brown laid paper)	Prints	Engraving	""	false
2 woodcuts	Prints	Woodcut	""	false
2 woodcuts on laid paper of illustrations designed by edward burne-jones and engraved by w.h. hooper and 2 facing text pages with borders by morris to match	Prints	Woodcut	""	false
2 x 3	Other	""	""	false
2 x 8	Other	""	""	false
2) of 8 lithographs on montgolfier annonay linen paper	Prints	Lithograph	""	false
"2) on pure chiffe de france paper with ""picasso"" watermark"	Paper + parchment	Paper	""	false
2. back endpapers are-verso in grey and recto in blue and stamped 1958	Other	""	""	false
20	Other	""	""	false
20 etchings on bfk rives paper	Prints	Etching	""	false
20 lithographs on arches wove paper	Prints	Lithograph	""	false
20+ tips of antelope and springbok horn	Organic	Horn, gut + sinew	Horn	false
20-page book with 46 lithographs	Prints	Lithograph	""	false
21 engravings	Prints	Engraving	""	false
22 color lithograph and screenprint	Prints	Screenprint	""	false
22 color offset lithographs in bound book	Prints	Offset lithograph	""	false
22 etchings	Prints	Etching	""	false
22 lithographs	Prints	Lithograph	""	false
22 pages of engravings of architectural designs	Prints	Engraving	""	false
22 sheets of colored acetate and card stock	Inorganic	Acetate	""	false
24 karat gold plated metal	Metal	""	""	false
24 pages	Other	""	""	false
24 wood engravings printed in brown ink	Ink + drawing	Ink	""	false
24kt gold	Metal	Gold	""	false
25	Other	""	""	false
25 duotone offset lithographs	Prints	Offset lithograph	""	false
25 intaglio images in a leather-bound portfolio	Organic	Leather + hide	Leather	false
25% nylon)	Textiles + fiber	Other woven textiles	Nylon	false
26 black and white die-cut loose sheets with offset title page in b	Other	""	""	false
26 letterpress folders with collages in plexiglas box	Prints	Letterpress	""	false
26 lift ground aquatints	Prints	Aquatint	""	false
26 red and blue die-cut loose sheets with offset title page in r	Other	""	""	false
27 reproductions of lithographed drawings	Prints	Lithograph	""	false
2:1 twill ground with weft patterning	Textiles + fiber	Weaving	Supplementary-weft patterning	false
2:1 twill lampas	Other	""	""	false
2:1 twill lampas (odon)	Other	""	""	false
2:1 twill with supplementary weft floats (karaori)	Textiles + fiber	Weaving	Supplementary-weft patterning	false
2:1 warp-faced lampas damask	Other	""	""	false
3 chine collé with various oriental papers (1 with pen-and-ink inscription)	Paper + parchment	Paper	""	false
3 color lithograph	Prints	Lithograph	""	false
"3 cylindrical tubes penetrate the box (2 from ""spine"" to ""fore edge"" and 1 from front cover to back cover)"	Other	""	""	false
3 drypoints	Prints	Drypoint	""	false
3 drypoints on arches laid paper	Prints	Drypoint	""	false
3 etchings and 21 lithographs colored with pochoir on arches wove paper. cream wove paper wrappers over boards	Prints	Lithograph	""	false
3 facsimiles of pen and ink drawings	Ink + drawing	Drawing	""	false
3 folding color reproductions of paintings	Other	""	""	false
3 hand-colored etchings	Prints	Etching	""	false
3 in second)	Other	""	""	false
3 lithographs (1 with color) on china applique paper	Prints	Lithograph	""	false
3 reproductions)	Other	""	""	false
3 screenprints on rives bfk 280 gsm paper and screenprinted lenox 100 250 gsm paper folder	Prints	Screenprint	""	false
3 with additional hand-coloring	Ink + drawing	Hand colouring	""	false
3-color lithograph	Prints	Lithograph	""	false
3-d printed collage elements	Paint + pigment	Surface technique	Collage	false
30 reproductions printed in black and additional portfolio of 30 reproductions printed in green	""	""	""	true
31 drypoints and 1 color lithograph on lana pure rag paper and 1 drypoint on wrapper	Prints	Lithograph	""	false
31 etchings	Prints	Etching	""	false
31 wood engravings in text	Prints	Wood engraving	""	false
32 color) on arches wove paper	Paper + parchment	Paper	Wove paper	false
32 with gold paint) on cream paper (cover illustration is on black paper)	Paint + pigment	Paint	""	false
32 woodcuts	Prints	Woodcut	""	false
33 photolithographs	Prints	Lithograph	""	false
34 facsimile drawings	Ink + drawing	Drawing	""	false
34 lithographs (2 in color) on auvergne paper	Prints	Lithograph	""	false
34 woodcuts on holland van gelder wove paper	Prints	Woodcut	""	false
35	Other	""	""	false
35 color screenprint	Prints	Screenprint	""	false
35mm film and 4k digital	Other	""	""	false
360 carved oak panels	Organic	Wood + plant	Oak	false
38 color lithographs	Prints	Lithograph	""	false
38 in second volume)	Other	""	""	false
38 rust-brown woodcuts on arches laid paper	Prints	Woodcut	""	false
380 black and white)	Other	""	""	false
3:1 twill lampas	Other	""	""	false
3m color	Other	""	""	false
3m color-in-color	Other	""	""	false
3mcolor-in-color	Other	""	""	false
4	Other	""	""	false
4 afters): picasso (etching)	Prints	Etching	""	false
4 aquatints with etching	Prints	Aquatint	""	false
4 cardboard cuts on bfk rives paper and extra suite on chine bound in	Paper + parchment	Paper	Cardboard	false
4 color lithograph	Prints	Lithograph	""	false
4 color lithograph with embossment	Prints	Lithograph	""	false
4 color lithographs on bfk rives paper	Prints	Lithograph	""	false
4 color screenprinting	Prints	Screenprint	""	false
4 copies of the book notice included within-in storage container	Other	""	""	false
4 drypoints on celluloid printed on arches wove paper	Prints	Drypoint	""	false
4 engravings and 3 etchings	Prints	Engraving	""	false
4 etched head-pieces).	Other	""	""	false
4 etchings (1 with drypoint) on ivory laid holland van gelder paper	Prints	Drypoint	""	false
4 etchings (2 with aquatint)	Prints	Aquatint	""	false
4 etchings with lift ground aquatint on manufactures imperiales buff japon ancien	Prints	Aquatint	""	false
4 etchings with overprinted screeprints	Prints	Etching	""	false
4 line blocks with pochoir coloring	Prints	Line block	""	false
4 lithographs	Prints	Lithograph	""	false
4 lithographs on arches wove paper	Prints	Lithograph	""	false
4 metal relief prints (two pictorial title pages	Prints	Relief print	""	false
4 photolithographic reproductions in color of tarot cards on ivory wove paper mounted on pale orange-yellow wove paper	Prints	Lithograph	""	false
4 plate daguerreotype with hand coloring	Metal	Plate	""	false
4 plate tintype with hand coloring in union case	Metal	Plate	""	false
4 raised bands on spine	Other	""	""	false
4 reproductions of aquatints from la barre d'appui on pannekoek holland paper	Prints	Aquatint	""	false
4 single pages of color photomechanical process inbook with spiral binding and white grid-patterned plastic cover in black cardboard slipcase	Prints	Photomechanical	""	false
4 wood engraved vignettes	Organic	Wood + plant	Wood	false
4-color photographic image on kromekote 10p-pt. cis paper covers laminated in plastic	Inorganic	Plastic	""	false
4-layer and tubular weaves on an 8-harness loom	Other	""	""	false
40 reproductions of the drawings	Ink + drawing	Drawing	""	false
41 etchings	Prints	Etching	""	false
42 color wood engravings on arches wove paper	Prints	Wood engraving	""	false
42 etchings on arches paper	Prints	Etching	""	false
43 in red on japan imperial paper) loose in wrapper with 1 decorative initial and lettering on cover	Paper + parchment	Paper	""	false
43 in second volume)	Other	""	""	false
44 pages	Other	""	""	false
46 in color and 15 in black on cream okawara 60 gsm mold made kozo paper	Paper + parchment	Paper	""	false
48 pages	Other	""	""	false
49 smaller wood engravings	Prints	Wood engraving	""	false
4:1 satin lampas (shuchin)	Textiles + fiber	Other woven textiles	Satin	false
4:1 twill ground lampas	Other	""	""	false
5 1	Other	""	""	false
5 color lithograph	Prints	Lithograph	""	false
5 color screenprint	Prints	Screenprint	""	false
5 drawings reproduced by photolithography on kozo paper	Prints	Lithograph	""	false
